Address_City,Address_State,Address_Street,Address_Zip,Code,Lat,LineCode1,LineCode2,LineCode3,LineCode4,Lon,Name,StationTogether1,StationTogether2
Vienna,VA,8305 Leesburg Pike,22182,N03,38.921732,SV,,,,-77.234607,Greensboro,,
Washington,DC,200 Florida Ave N.E.,20002,B35,38.9070162121,RD,,,,-77.0030204472,New York Avenue,,
Washington,DC,1701 8th St. NW,20001,E02,38.9134768711,GR,YL,,,-77.0219117007,Shaw,,
Arlington,VA,1750 South Clark St.,22202,C09,38.8579043204,BL,YL,,,-77.0502898097,Crystal City,,
Arlington,VA,1250 South Hayes St.,22202,C08,38.8618823867,BL,YL,,,-77.0595389215,Pentagon City,,
Hyattsville,MD,3575 East West Highway,20782,E08,38.9653854458,GR,,,,-76.9558815078,Prince Georges Plaza,,
Hyattsville,MD,2700 Hamilton St.,20782,E07,38.9550401707,GR,,,,-76.9695766751,West Hyattsville,,
Washington,DC,550 Galloway Street NE,20011,E06,38.9518467675,GR,YL,,,-77.0022030768,Fort Totten,B06,
Washington,DC,3700 Georgia Avenue NW,20010,E05,38.9374346301,GR,YL,,,-77.023460904,Georgia Avenue,,
Washington,DC,3030 14th St. NW,20009,E04,38.9278379675,GR,YL,,,-77.0325521177,Columbia Heights,,
Washington,DC,1240 U Street NW,20009,E03,38.9170023992,GR,YL,,,-77.0274958929,U Street,,
Washington,DC,607 13th St. NW,20005,C01,38.8983144732,BL,OR,SV,,-77.0280779971,Metro Center,A01,
Washington,DC,700 M St. NW,20001,E01,38.9064368149,GR,YL,,,-77.0219143803,Mt Vernon Sq,,
Washington,DC,900 18th St. NW,20006,C03,38.9013128941,BL,OR,SV,,-77.0406954151,Farragut West,,
Washington,DC,1400 I St. NW,20005,C02,38.9013327968,BL,OR,SV,,-77.0336341721,McPherson Square,,
Arlington,VA,1850 N. Moore Street,22209,C05,38.8959790962,BL,OR,SV,,-77.0709086853,Rosslyn,,
Washington,DC,302 12th St. NW,20004,D01,38.8931808718,BL,OR,SV,,-77.0281319984,Federal Triangle,,
Arlington,VA,2 South Rotary Road,22202,C07,38.8694627012,BL,YL,,,-77.0537156734,Pentagon,,
Arlington,VA,1000 North Memorial Drive,22211,C06,38.8846868585,BL,,,,-77.0628101291,Arlington Cemetery,,
Washington,DC,2301 I St. NW,20037,C04,38.9006980092,BL,OR,SV,,-77.050277739,Foggy Bottom,,
Arlington,VA,3600 Fairfax Drive,22201,K03,38.8833661518,OR,SV,,,-77.1029772942,Virginia Square,,
Springfield,VA,6880 Frontier Drive,22150,J03,38.7665218926,BL,,,,-77.1679701804,Franconia-Springf'ld,,
New Carrollton,MD,4700 Garden City Drive,20784,D13,38.9477848558,OR,,,,-76.8718412865,New Carrollton,,
Silver Spring,MD,12501 Georgia Avenue,20906,B11,39.0617837655,RD,,,,-77.0535573593,Glenmont,,
Arlington,VA,2001 N. Sycamore St.,22205,K05,38.8859531663,OR,SV,,,-77.1568830199,E Falls Church,,
Temple Hills,MD,1411 Southern Avenue,20748,F08,38.8410857803,GR,,,,-76.9750541388,Southern Ave,,
Temple Hills,MD,3101 Branch Avenue,20748,F09,38.8513013835,GR,,,,-76.9562627094,Naylor Road,,
Alexandria,VA,2400 Eisenhower Avenue,22314,C14,38.8004254497,YL,,,,-77.0708743893,Eisenhower Avenue,,
Washington,DC,399 M Street SW,20024,F04,38.8764618668,GR,,,,-77.0175052088,Waterfront,,
Washington,DC,200 M Street SE,20003,F05,38.8764810849,GR,,,,-77.0050856513,Navy Yard,,
Washington,DC,1101 Howard Road SE,20020,F06,38.8629631168,GR,,,,-76.9953707387,Anacostia,,
Washington,DC,1290 Alabama Avenue SE,20020,F07,38.8456577028,GR,,,,-76.9885119326,Congress Height,,
Alexandria,VA,5690 Eisenhower Avenue,22310,J02,38.799307672,BL,,,,-77.1291115237,Van Dorn St,,
Washington,DC,630 H St. NW,20001,F01,38.8983168097,GR,YL,,,-77.0219153904,Gallery Place,B01,
Washington,DC,701 Pennsylvania Avenue NW,20004,F02,38.8936652235,GR,YL,,,-77.0219143879,Archives,,
Washington,DC,600 Maryland Avenue SW,20024,F03,38.8848377279,GR,YL,,,-77.021908484,L'Enfant Plaza,D03,
Silver Spring,MD,11171 Georgia Avenue,20902,B10,39.0375271436,RD,,,,-77.0501070535,Wheaton,,
Suitland,MD,4500 Silver Hill Road,20746,F10,38.8439645544,GR,,,,-76.9318701589,Suitland,,
Bethesda,MD,7450 Wisconsin Avenue,20814,A09,38.9843936603,RD,,,,-77.0941291922,Bethesda,,
Washington,DC,5337 Wisconsin Avenue NW,20015,A08,38.9594838736,RD,,,,-77.084995805,Friendship Heights,,
